ID;CODE;ISO_DIG;ISO_LAT3;NAME_RUS;NAME_COU;NAME_COU1;NAME_COU2;NAME_COU3;CB_DATE;CE_DATE
244;244;752;SEK;ШВЕДСКАЯ КРОНА;ШВЕЦИЯ;;;;01.07.1995;31.12.2099
271;271;951;XCD;ВОСТОЧНО-КАРИБСКИЙ ДОЛЛАР;"АНГИЛЬЯ; АНТИГУА И БАРБУДА; ГРЕНАДА; ДОМИНИКА; МОНТСЕРРАТ; СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ; СЕНТ-КИТС И НЕВИС; СЕНТ-ЛЮСИЯ";;;;01.07.1995;31.12.2099
219;219;604;PEN;НОВЫЙ СОЛЬ;ПЕРУ;;;;01.07.1995;31.07.2016
276;276;980;UAH;ГРИВНА;УКРАИНА;;;;17.03.1997;31.12.2099
414;312;967;ZMW;ЗАМБИЙСКАЯ КВАЧА;ЗАМБИЯ;;;;01.01.2013;31.12.2099
124;124;108;BIF;БУРУНДИЙСКИЙ ФРАНК;БУРУНДИ;;;;01.07.1995;31.12.2099
286;255;800;UGX;УГАНДИЙСКИЙ ШИЛЛИНГ;УГАНДА;;;;01.11.1999;31.12.2099
169;169;364;IRR;ИРАНСКИЙ РИАЛ;ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА;;;;01.07.1995;31.12.2099
177;177;400;JOD;ИОРДАНСКИЙ ДИНАР;ИОРДАНИЯ;;;;01.07.1995;31.12.2099
359;226;642;ROL;СТАРЫЙ РУМЫНСКИЙ ЛЕЙ;РУМЫНИЯ;;;;01.07.2005;31.10.2005
362;297;945;AYM;АЗЕРБАЙДЖАНСКИЙ МАНАТ;АЗЕРБАЙДЖАН;;;;01.11.2005;31.12.2005
298;285;232;ERN;НАКФА;ЭРИТРЕЯ;;;;01.01.2001;31.12.2099
227;227;646;RWF;ФРАНК РУАНДЫ;РУАНДА;;;;01.07.1995;31.12.2099
156;156;288;GHC;СЕДИ;ГАНА;;;;01.07.1995;15.11.2009
327;183;418;LAK;КИП;ЛАОССКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА;;;;01.01.2003;30.11.2017
120;120;090;SBD;ДОЛЛАР СОЛОМОНОВЫХ ОСТРОВОВ;СОЛОМОНОВЫ ОСТРОВА;;;;01.07.1995;31.12.2002
411;300;943;MZN;МОЗАМБИКСКИЙ МЕТИКАЛ;МОЗАМБИК;;;;25.06.2012;31.12.2099
399;305;936;GHS;СЕДИ;ГАНА;;;;16.11.2009;24.06.2012
339;269;901;TWD;НОВЫЙ ТАЙВАНЬСКИЙ ДОЛЛАР;ТАЙВАНЬ (КИТАЙ);;;;01.01.2003;31.12.2099
427;136;188;CRC;КОСТА-РИКАНСКИЙ КОЛОН;КОСТА-РИКА;;;;10.08.2017;31.12.2099
154;154;270;GMD;ДАЛАСИ;ГАМБИЯ;;;;01.07.1995;31.12.2099
110;110;048;BHD;БАХРЕЙНСКИЙ ДИНАР;БАХРЕЙН;;;;01.07.1995;31.12.2099
116;116;064;BTN;НГУЛТРУМ;БУТАН;;;;01.07.1995;31.12.2099
332;231;690;SCR;СЕЙШЕЛЬСКАЯ РУПИЯ;СЕЙШЕЛЫ;;;;01.01.2003;31.12.2099
398;308;934;TMT;НОВЫЙ МАНАТ;ТУРКМЕНИЯ;;;;16.11.2009;24.06.2012
426;306;937;VEF;БОЛИВАР;ВЕНЕСУЭЛА (БОЛИВАРИАНСКАЯ РЕСПУБЛИКА);;;;01.08.2016;06.11.2018
132;132;156;CNY;КИТАЙСКИЙ ЮАНЬ;КИТАЙ;;;;01.07.1995;31.12.2000
191;191;446;MOP;ПАТАКА;МАКАО;;;;01.07.1995;31.12.2099
130;130;144;LKR;ШРИ-ЛАНКИЙСКАЯ РУПИЯ;ШРИ-ЛАНКА;;;;01.07.1995;09.08.2017
180;180;410;KRW;ВОНА;КОРЕЯ, РЕСПУБЛИКА;;;;01.07.1995;31.12.2099
255;255;800;UGS;УГАНДИЙСКИЙ ШИЛЛИНГ;УГАНДА;;;;01.07.1995;31.10.1999
307;103;020;ADP;АНДОРСКАЯ ПЕСЕТА;АНДОРРА;;;;01.07.2001;31.12.2003
336;260;834;TZS;ТАНЗАНИЙСКИЙ ШИЛЛИНГ;ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА;;;;01.01.2003;31.12.2099
176;176;398;KZT;ТЕНГЕ (КАЗАХСКИЙ);КАЗАХСТАН;;;;01.07.1995;30.06.2001
324;138;191;HRK;ХОРВАТСКАЯ КУНА;ХОРВАТИЯ;;;;01.01.2003;06.09.2015
107;107;036;AUD;АВСТРАЛИЙСКИЙ ДОЛЛАР;"АВСТРАЛИЯ; КИРИБАТИ; КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА; НАУРУ; НОРФОЛК, ОСТРОВ; ОСТРОВ РОЖДЕСТВА; ТУВАЛУ; ХЕРД И МАКДОНАЛЬД, ОСТРОВА";;;;01.07.1995;31.12.2002
293;283;975;BGN;БОЛГАРСКИЙ ЛЕВ;БОЛГАРИЯ;;;;01.01.2001;31.12.2099
264;264;862;VEB;БОЛИВАР;ВЕНЕСУЭЛА;;;;01.07.1995;06.09.2009
187;187;430;LRD;ЛИБЕРИЙСКИЙ ДОЛЛАР;ЛИБЕРИЯ;;;;01.07.1995;31.12.2099
164;164;344;HKD;ГОНКОНГСКИЙ ДОЛЛАР;ГОНКОНГ;;;;01.07.1995;31.12.2099
233;233;702;SGD;СИНГАПУРСКИЙ ДОЛЛАР;СИНГАПУР;;;;01.07.1995;31.12.2099
292;282;973;AOA;КВАНЗА;АНГОЛА;;;;01.01.2001;31.12.2099
121;121;096;BND;БРУНЕЙСКИЙ ДОЛЛАР;БРУНЕЙ ДАРУССАЛАМ;;;;01.07.1995;31.12.2002
357;253;792;TRL;СТАРАЯ ТУРЕЦКАЯ ЛИРА;ТУРЦИЯ;;;;01.01.2005;31.12.2006
220;220;608;PHP;ФИЛИППИНСКОЕ ПЕСО;ФИЛИППИНЫ;;;;01.07.1995;31.03.2018
433;220;608;PHP;ФИЛИППИНСКОЕ ПИСО;ФИЛИППИНЫ;;;;01.04.2018;06.11.2018
437;220;608;PHP;ФИЛИППИНСКОЕ ПЕСО;ФИЛИППИНЫ;;;;07.11.2018;31.12.2099
416;186;428;LVL;ЛАТВИЙСКИЙ ЛАТ;ЛАТВИЯ;;;;01.07.1995;31.12.2013
267;267;890;YUN;ЮГОСЛАВСКИЙ ДИНАР;ЮГОСЛАВИЯ;;;;01.07.1995;31.12.2000
291;281;276;DEM;НЕМЕЦКАЯ МАРКА;ГЕРМАНИЯ;;;;01.01.2001;31.12.2002
363;226;642;ROL;СТАРЫЙ РУМЫНСКИЙ ЛЕЙ;РУМЫНИЯ;;;;01.11.2005;31.12.2006
314;279;978;EUR;ЕВРО;"АВСТРИЯ; АНДОРРА; БЕЛЬГИЯ; ВАТИКАН, ГОРОД-ГОСУДАРСТВО; ГВАДЕЛУПА; ГЕРМАНИЯ; ГРЕЦИЯ; ИРЛАНДИЯ; ИСПАНИЯ; ИТАЛИЯ; ЛЮКСЕМБУРГ; МАРТИНИКА; МОНАКО; НИДЕРЛАНДЫ; ПОРТУГАЛИЯ; РЕЮНЬОН; САН-МАРИНО; СЕН-ПЬЕР И МИКЕЛОН; ФИНЛЯНДИЯ; ФРАНЦИЯ; ФРАНЦУЗСКАЯ ГВИАНА; ФРА";НЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ;;;01.01.2002;31.12.2002
224;224;626;TPE;ТИМОРСКОЕ ЭСКУДО;ВОСТОЧНЫЙ ТИМОР;;;;01.07.1995;31.05.2003
379;140;196;CYP;КИПРСКИЙ ФУНТ;КИПР;;;;01.01.2008;31.08.2008
318;109;044;BSD;БАГАМСКИЙ ДОЛЛАР;БАГАМЫ;;;;01.01.2003;31.12.2099
388;307;935;ZWR;ДОЛЛАР ЗИМБАБВЕ;ЗИМБАБВЕ;;;;01.08.2009;15.11.2009
242;242;740;SRG;СУРИНАМСКИЙ ГУЛЬДЕН;СУРИНАМ;;;;01.07.1995;29.02.2004
382;279;978;EUR;ЕВРО;"АВСТРИЯ; АНДОРРА; БЕЛЬГИЯ; ГВАДЕЛУПА; ГЕРМАНИЯ; ГРЕЦИЯ; ИРЛАНДИЯ; ИСПАНИЯ; ИТАЛИЯ; КИПР; ЛЮКСЕМБУРГ; МАЙОТТА; МАЛЬТА; МАРТИНИКА; МОНАКО; НИДЕРЛАНДЫ; ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН); ПОРТУГАЛИЯ; РЕЮНЬОН; САН-МАРИНО; СЕНТ-ПЬЕР И МИКЕЛОН;С";"ЛОВАКИЯ; СЛОВЕНИЯ; ФИНЛЯНДИЯ; ФРАНЦИЯ; ФРАНЦУЗСКАЯ ГВИАНА; ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ; ЧЕРНОГОРИЯ";;;01.01.2009;06.09.2009
417;279;978;EUR;ЕВРО;"АВСТРИЯ; АНДОРРА; БЕЛЬГИЯ; ГВАДЕЛУПА; ГЕРМАНИЯ; ГРЕЦИЯ; ИРЛАНДИЯ; ИСПАНИЯ; ИТАЛИЯ; КИПР; ЛАТВИЯ; ЛЮКСЕМБУРГ; МАЙОТТА; МАЛЬТА; МАРТИНИКА; МОНАКО; НИДЕРЛАНДЫ; ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН); ПОРТУГАЛИЯ; РЕЮНЬОН; САН-МАРИНО; СЕН-БАРТЕЛЕМИ";"; СЕН-МАРТЕН (ФРАНЦУЗСКАЯ ЧАСТЬ); СЕНТ-ПЬЕР И МИКЕЛОН; СЛОВАКИЯ; СЛОВЕНИЯ; ФИНЛЯНДИЯ; ФРАНЦИЯ; ФРАНЦУЗСКАЯ ГВИАНА; ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ; ЧЕРНОГОРИЯ; ЭЛАНДСКИЕ ОСТРОВА; ЭСТОНИЯ";;;01.01.2014;31.12.2014
395;175;392;JPY;ИЕНА;ЯПОНИЯ;;;;07.09.2009;31.12.2099
340;268;894;ZMK;КВАЧА;ЗАМБИЯ;;;;01.01.2003;06.09.2009
119;119;084;BZD;БЕЛИЗСКИЙ ДОЛЛАР;БЕЛИЗ;;;;01.07.1995;31.12.2099
113;113;052;BBD;БАРБАДОССКИЙ ДОЛЛАР;БАРБАДОС;;;;01.07.1995;31.12.2099
190;190;442;LUF;ЛЮКСЕМБУРГСКИЙ ФРАНК;ЛЮКСЕМБУРГ;;;;01.07.1995;31.12.2002
203;203;508;MZM;МЕТИКАЛ;МОЗАМБИК;;;;01.07.1995;29.11.2006
287;262;858;UYU;УРУГВАЙСКОЕ ПЕСО;УРУГВАЙ;;;;01.11.1999;31.12.2099
139;139;192;CUP;КУБИНСКОЕ ПЕСО;КУБА;;;;01.07.1995;31.12.2099
243;243;748;SZL;ЛИЛАНГЕНИ;СВАЗИЛЕНД;;;;01.07.1995;06.11.2018
122;122;100;BGL;ЛЕВ;БОЛГАРИЯ;;;;01.07.1995;31.12.2003
341;270;950;XAF;ФРАНК КФА ВЕАС;"ГАБОН; КАМЕРУН; КОНГО; ЦЕНТРАЛЬНО-АФРИКАНСКАЯ  РЕСПУБЛИКА; ЧАД; ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ";;;;01.01.2003;31.12.2099
256;256;807;MKD;ДЕНАР;МАКЕДОНИЯ;;;;01.07.1995;30.06.2001
144;144;218;ECS;СУКРЕ;ЭКВАДОР;;;;01.07.1995;31.12.2002
280;138;191;HRK;ХОРВАТСКАЯ КУНА;ХОРВАТИЯ;;;;19.06.1997;31.10.1999
284;138;191;HRK;КУНА;ХОРВАТИЯ;;;;01.11.1999;31.12.2002
300;287;891;YUM;НОВЫЙ ДИНАР;ЮГОСЛАВИЯ;;;;01.01.2001;31.12.2002
338;287;891;YUM;ЮГОСЛАВСКИЙ ДИНАР;ЮГОСЛАВИЯ;;;;01.01.2003;31.12.2003
181;181;414;KWD;КУВЕЙТСКИЙ ДИНАР;"КУВЕЙТ; НЕЙТРАЛЬНАЯ ЗОНА МЕЖДУ САУДОВСКОЙ АРАВИЕЙ И ИРАКОМ";;;;01.07.1995;31.12.2000
173;173;380;ITL;ИТАЛЬЯНСКАЯ ЛИРА;"ВАТИКАН, ГОРОД-ГОСУДАРСТВО;  ИТАЛИЯ; САН-МАРИНО";;;;01.07.1995;31.12.2002
